PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Joel Embiid,PHI,26,4,0,4,36.2,30,8.5,18.5,45.9,1,4,25,12,14.8,81.4,2.8,9.5,12.3,1.3,3.8,1.5,1.3,4.5,51.1,4,0,-13.3
Jordan Clarkson,UTA,28,7,3,4,28.6,16.7,6.4,13.9,46.4,2.4,7,34.7,1.4,1.4,100,0.3,3.1,3.4,2.1,1,0.9,0,2.1,25.6,0,0,0.3
Josh Reaves,DAL,23,2,0,2,4.6,2,0.5,1.5,33.3,0,0.5,0,1,1,100,0,1,1,0.5,0.5,0,0.5,0.5,5,0,0,-3.5
Josh Richardson,PHI,26,4,0,4,36.1,16.8,5,14,35.7,2.5,7,35.7,4.3,4.5,94.4,1,2.8,3.8,3.3,2,0.5,0.5,3,27.1,0,0,-5
Justin Anderson,BKN,26,3,0,3,9.4,6.3,1.7,4,41.7,1.7,3.7,45.5,1.3,1.3,100,0,2.7,2.7,1,0.7,0,0.3,0.7,11.4,0,0,-5
Justin Holiday,IND,31,4,0,4,32.8,7.3,2.5,5.3,47.6,2,4,50,0.3,0.8,33.3,1,2.8,3.8,0.8,0.8,1.5,1.3,2,20.4,0,0,0
Justin Jackson,DAL,25,3,1,2,5.3,1.3,0.3,2,16.7,0,1,0,0.7,1.3,50,0,1,1,0,0,0,0,0.3,2.5,0,0,-7.7
Jusuf Nurkic,POR,25,5,1,4,32.3,14.2,5,11.4,43.9,0.6,2.2,27.3,3.6,4.6,78.3,2.8,7.6,10.4,3.6,2.6,1.4,0.2,4.2,34.3,3,0,-13.2
Juwan Morgan,UTA,23,7,3,4,12.4,1.4,0.4,1.7,25,0.3,1.4,20,0.3,0.9,33.3,0.9,2.1,3,0.7,0.1,0.3,0,1.6,6.8,0,0,5.1
Kawhi Leonard,LAC,29,13,7,6,39.3,28.2,10.1,20.6,48.9,1.8,5.6,32.9,6.2,7.2,86.2,1.8,7.5,9.3,5.5,2.5,2.3,0.8,2.2,54.6,6,0,1.9
Keita Bates-Diop,DEN,24,5,2,3,4.7,0.6,0.2,1,20,0,0,0,0.2,0.4,50,0.6,0.6,1.2,0.2,0,0,0,0,2.3,0,0,0.4
Kelly Olynyk,MIA,29,17,10,7,15.2,7.6,2.6,5.6,47.4,1,2.9,34.7,1.4,1.6,82.1,0.8,3.9,4.6,1.1,0.8,0.2,0.5,2.1,16.3,0,0,3.1
Kemba Walker,BOS,30,17,10,7,36.9,19.6,6.6,15.1,44.1,2.3,7.4,31,4.1,4.8,85.2,0.4,3.7,4.1,5.1,1.9,0.9,0.4,2.5,34.1,1,0,4.5
Kendrick Nunn,MIA,24,15,9,6,15.9,6.1,2.4,6.1,39.1,0.8,2.9,27.9,0.5,0.5,100,0.2,1.9,2.1,1.3,0.8,0.2,0.2,1.4,11.1,0,0,-0.1
Kentavious Caldwell-Pope,LAL,27,21,16,5,29,10.7,3.8,9,41.8,2.1,5.7,37.8,1,1.3,81.5,0.4,1.7,2.1,1.3,0.7,1,0.2,1.9,18.1,0,0,3.6
Khem Birch,ORL,27,5,1,4,17.9,4.8,1.4,2.8,50,0,0,0,2,2.2,90.9,1.8,3.2,5,1.4,1,0.2,0,2.2,12.5,0,0,2
Khris Middleton,MIL,28,10,5,5,35.5,20.3,7.1,18,39.4,2.3,6.5,35.4,3.8,4.6,82.6,0.5,6.4,6.9,6,3.4,1.1,0.2,4.1,38.1,2,0,5.8
Kristaps Porzingis,DAL,24,3,1,2,31.5,23.7,7,13.3,52.5,3,5.7,52.9,6.7,7.7,87,1,7.7,8.7,0.7,1,0,1,3,37.1,1,0,-2.3
Kyle Korver,MIL,39,10,5,5,11.9,6.2,2,4.7,42.6,1.5,3.7,40.5,0.7,0.7,100,0.1,0.7,0.8,0.1,0.5,0.3,0.1,0.9,8,0,0,2.8
Kyle Kuzma,LAL,24,21,16,5,23,10,3.7,8.5,43,1.2,4,31.3,1.4,1.8,78.4,0.9,2.2,3.1,0.8,1,0.3,0.3,2.4,15.7,0,0,0.8
Kyle Lowry,TOR,34,11,7,4,37.6,17.7,5.6,13.5,41.9,2.1,6.5,31.9,4.4,5.5,80,0.7,5.8,6.5,5.8,2.5,1.7,0.7,3.6,39.1,2,0,4
Kyle O'Quinn,PHI,30,1,0,1,5.7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,3,0.7,0,0,-1
Lance Thomas,BKN,32,3,0,3,5.7,1.3,0.3,1.7,20,0,0.7,0,0.7,1.3,50,0.3,0.7,1,0,0,0,0.3,0.7,3.5,0,0,-3.3
Landry Shamet,LAC,23,13,7,6,18.7,5.2,1.8,4.5,40.7,1.2,3.2,35.7,0.4,0.5,71.4,0,1.7,1.7,1.3,1,0.5,0.2,1.4,10.3,0,0,0.1
LeBron James,LAL,35,21,16,5,36.3,27.6,10.2,18.2,56,2.1,5.7,37,5.1,7.1,72,1.3,9.4,10.8,8.8,4,1.2,0.9,1.9,56,16,5,7.9
Lou Williams,LAC,33,13,7,6,26.2,12.8,4.8,11.2,42.5,0.9,3.9,23.5,2.3,2.8,81.1,0.5,2.6,3.2,4.2,1.6,0.8,0.2,1.4,24.1,0,0,4.5
Luguentz Dort,OKC,21,6,3,3,29.2,12.5,4.5,12.7,35.5,2.2,8.3,26,1.3,2.5,53.3,0.8,2.8,3.7,1,2.5,0.3,1,4.2,19.9,0,0,-3.3
Luka Doncic,DAL,21,6,2,4,35.8,31,10.7,21.3,50,2.7,7.3,36.4,7,10.7,65.6,0.7,9.2,9.8,8.7,5.2,1.2,0.5,2.8,55.6,2,2,-6.3
Malcolm Brogdon,IND,27,4,0,4,39.9,21.5,6.5,16.3,40,2.3,6,37.5,6.3,7,89.3,0,4.3,4.3,10,2.5,1,0,2.5,42.1,2,0,-7.3
Malcolm Miller,TOR,27,1,1,0,5.3,3,1,3,33.3,1,1,100,0,0,0,0,0,0,0,0,0,0,2,3,0,0,-4
Marc Gasol,TOR,35,11,7,4,20.7,6,2.3,5.8,39.1,0.5,2.5,18.5,1,1.4,73.3,0.4,4,4.4,2.6,1.5,0.5,0.6,2.9,17,0,0,-0.7
Marcus Morris Sr.,LAC,30,13,7,6,29.9,11.8,4.3,8.5,50.5,2.2,4.5,47.5,1,1.1,92.9,0.8,4,4.8,1.6,0.7,0.8,0.1,3,22.1,0,0,6.3
Marcus Smart,BOS,26,17,10,7,38.1,14.5,4.6,11.6,39.4,2.4,7.2,33.3,2.9,3.3,87.5,0.6,4.6,5.2,4.6,2.6,1.2,0.5,3.2,30.1,2,1,5.3
Mario Hezonja,POR,25,5,1,4,13.6,4.6,1.8,4.4,40.9,0.4,1.4,28.6,0.6,0.8,75,0.4,2.8,3.2,1.2,0.6,0.6,0,1.6,11.4,0,0,-1.4
Markelle Fultz,ORL,22,5,1,4,29.3,12,4.8,12,40,1.2,3.2,37.5,1.2,1.4,85.7,0,2.2,2.2,5.2,2.6,1,0.6,4,24.6,0,0,-12.6
Markieff Morris,LAL,30,21,16,5,18.4,5.9,2.1,4.7,44.9,1.4,3.3,42,0.3,0.4,77.8,0.6,2.5,3,1,0.8,0.3,0.1,2.6,11.5,0,0,2.8
Marvin Williams,MIL,34,10,5,5,17.9,5.5,2.1,4.7,44.7,1,2.3,43.5,0.3,0.3,100,1.3,3.5,4.8,0.9,0.3,0.5,0.3,1.4,14.7,0,0,1.5
Mason Plumlee,DEN,30,19,9,10,10.9,2.4,1,2.1,48.7,0,0.1,0,0.4,0.6,66.7,1.6,1.6,3.2,1.3,0.6,0.2,0.4,2.1,9.6,0,0,-0.9
Matisse Thybulle,PHI,23,4,0,4,18.8,1.8,0.8,1.8,42.9,0.3,1,25,0,0,0,0.3,1.5,1.8,0.5,0.5,0.8,0.3,1.5,7.1,0,0,-10.3
Matt Thomas,TOR,25,10,7,3,8.4,3.1,1.3,2.1,61.9,0.5,1.2,41.7,0,0,0,0.1,1.3,1.4,0.7,0.1,0.1,0.1,0.6,6.3,0,0,3.8
Maxi Kleber,DAL,28,6,2,4,33.9,6.7,2.2,6.5,33.3,0.8,4.3,19.2,1.5,2,75,1.7,4.8,6.5,1.5,0.7,0.3,1.2,3.3,20.6,0,0,-12
Meyers Leonard,MIA,28,3,2,1,10.3,4.7,1.7,2.7,62.5,0.7,1.3,50,0.7,0.7,100,0,0.3,0.3,1,0,0.3,0,1.3,7.6,0,0,2.7
Michael Frazier II,HOU,26,4,3,1,2.9,0.8,0.3,1,25,0.3,0.5,50,0,0,0,0.3,0.8,1,0.5,0.3,0,0,0,2.5,0,0,2.5
Michael Kidd-Gilchrist,DAL,26,6,2,4,9.1,2.3,0.7,2.3,28.6,0.3,1.5,22.2,0.7,1,66.7,0.3,0.7,1,0.5,0.2,0.2,0.2,1.3,5.1,0,0,-2.8
Michael Porter Jr.,DEN,22,19,9,10,23.7,11.4,4.1,8.6,47.6,1.8,4.7,38.2,1.4,1.8,74.3,1.1,5.6,6.7,0.8,1.3,0.7,0.3,2.3,22.3,2,0,2.8
Mike Conley,UTA,32,5,2,3,33,19.8,6.2,12.8,48.4,3.6,6.8,52.9,3.8,4.4,86.4,0.6,2.2,2.8,5.2,1,1.6,0.2,2,35.4,0,0,-0.2
Mike Muscala,OKC,28,2,0,2,9.9,1.5,0.5,1,50,0.5,0.5,100,0,0,0,0,2,2,0.5,0,0,0,1,4.7,0,0,-6
Mike Scott,PHI,31,4,0,4,5,1.5,0.3,1.3,20,0,0.5,0,1,1,100,0.5,1.5,2,0.3,0,0,0,0.5,4.3,0,0,0.3
Miye Oni,UTA,22,2,2,0,7,3.5,1.5,3,50,0.5,2,25,0,0,0,1,1,2,0,0.5,0.5,0.5,1,8.4,0,0,-4
Monte Morris,DEN,25,19,9,10,21.4,9.1,3.5,7,49.6,0.6,2.1,30,1.5,1.8,82.4,0.2,1.3,1.5,2.7,0.5,0.6,0.1,1.1,16.7,0,0,-4.5
Montrezl Harrell,LAC,26,13,7,6,18.7,10.5,3.6,6.3,57.3,0.1,0.4,20,3.2,5.2,60.3,0.8,2.1,2.9,0.4,0.9,0.4,0.5,2.2,16.4,1,0,-5.2
Myles Turner,IND,24,4,0,4,36.4,15.8,6.3,11,56.8,1.5,3.5,42.9,1.8,4,43.8,2.8,8,10.8,0.8,2.3,0.5,4,3.3,41,2,0,-9.5
Nerlens Noel,OKC,26,7,3,4,13.9,3,1.1,2.4,47.1,0,0.1,0,0.7,1.4,50,0.7,3.4,4.1,0.4,0.3,0.3,0.7,2.1,11.3,0,0,0.7
Nigel Williams-Goss,UTA,25,1,1,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,-5
Nikola Jokic,DEN,25,19,9,10,36.5,24.4,9.4,18.1,51.9,2.2,5.2,42.9,3.5,4.2,83.5,1.9,7.9,9.8,5.7,3.3,1.1,0.8,3.6,47.1,10,1,-0.7
Nikola Vucevic,ORL,29,5,1,4,36.9,28,11.2,22.2,50.5,3.6,8.8,40.9,2,2.2,90.9,1.8,9.2,11,4,2.6,0.8,0.6,2.6,48.8,4,0,-9.6
Noah Vonleh,DEN,24,1,0,1,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Norman Powell,TOR,27,11,7,4,24.8,13.4,4.6,9.5,49,2,4.7,42.3,2.1,2.6,79.3,0.4,2,2.4,1,1,0.5,0.3,2.6,19.2,0,0,2.3
Norvel Pelle,PHI,27,1,0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,-4
OG Anunoby,TOR,22,11,7,4,35.7,10.5,3.6,8,45.5,1.5,3.7,41.5,1.6,2.5,64.3,2.4,4.5,6.9,1.2,1.5,1,1.2,2.5,25.6,2,0,2
P.J. Tucker,HOU,35,12,5,7,34.5,7.9,2.9,7.3,39.8,2.1,5.6,37.3,0,0,0,1.9,5.3,7.2,1.5,1,1.1,0.3,3.9,21.8,2,0,2.3
PJ Dozier,DEN,23,12,4,8,10.4,3.2,1.2,2.8,42.4,0.2,0.7,25,0.7,1.2,57.1,0.2,1.3,1.5,1,0.7,0.2,0.2,1.1,6.8,0,0,0.3
Pascal Siakam,TOR,26,11,7,4,38,17,6.5,16.5,39.6,0.9,4.8,18.9,3,4.2,71.7,1.3,6.3,7.5,3.8,2,1.1,0.4,3,34.1,4,0,2.5
Pat Connaughton,MIL,27,10,5,5,17.1,4,1.5,3.5,42.9,0.8,2.3,34.8,0.2,0.2,100,0.5,3.4,3.9,1.1,0.5,0.2,0.2,1.2,11,1,0,-2.7
Patrick Beverley,LAC,31,8,4,4,20.8,6.3,2.5,4.9,51.3,1,2.8,36.4,0.3,0.5,50,1.1,3,4.1,2.4,0.9,1,0.4,3.9,18,0,0,0.9
Patrick Patterson,LAC,31,2,2,0,4.9,4.5,1.5,1.5,100,1.5,1.5,100,0,0,0,0,0.5,0.5,2,0,0,0,0.5,8.1,0,0,5
Paul George,LAC,30,13,7,6,36.8,20.2,6.8,17,39.8,2.8,8.5,33.3,3.8,4.2,90.9,1.1,5,6.1,3.8,3.1,1.5,0.5,3.8,36.1,1,0,2.2
