PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Aaron Brooks,CHI,30,12,6,6,11,4.5,1.8,5.1,34.4,0.7,2.2,30.8,0.3,0.6,57.1,0.3,1.3,1.5,0.9,0.8,0.3,0.1,1.3,7.9,0,0,-3.2
Al Horford,ATL,29,16,8,8,32.6,14.4,6.7,13.2,50.7,0.1,0.6,22.2,0.9,1.3,75,2.5,6.1,8.6,3.7,1.6,0.8,1.4,2.1,35.5,7,0,2.5
Al-Farouq Aminu,DAL,24,5,1,4,30,11.2,3.4,6.2,54.8,1.4,2.2,63.6,3,3.8,78.9,2.8,4.4,7.2,1.2,1.2,2,1.6,3,31.2,1,0,3.6
Alan Anderson,BKN,32,6,2,4,23.6,11,4.2,6.8,61,1.7,2.7,62.5,1,1.5,66.7,0.3,3.2,3.5,1.2,1.3,0.7,0.2,1.5,18.1,0,0,2.3
Alexis Ajinca,NOP,27,3,0,3,3.5,2.7,1.3,1.3,100,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0.3,0,0.7,4.6,0,0,-2.7
Allen Crabbe,POR,23,2,0,2,19.3,5,2,2.5,80,1,1,100,0,0,0,0,1.5,1.5,0.5,0.5,1,0.5,0.5,11.6,0,0,-4.5
Alonzo Gee,POR,28,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,4
Amar'e Stoudemire,DAL,32,5,1,4,15,7.8,3,7,42.9,0,0,0,1.8,2.6,69.2,1.4,1.8,3.2,0.6,1.4,0.2,0.6,3.2,13.5,0,0,0.8
Amir Johnson,TOR,28,4,0,4,27.9,11.5,5,7.3,69,0,0.3,0,1.5,3,50,1.8,5.3,7,1,1.8,0.3,0.8,4,22.7,1,0,-10
Andre Iguodala,GSW,31,21,16,5,30.2,10.4,3.9,8.1,47.4,1.4,3.9,35.4,1.3,3.1,41.5,0.8,3.7,4.5,3.6,0.7,1.2,0.3,2,25,0,0,3.3
