PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Andrew Bogut,GSW,30,19,14,5,23.1,4.7,2.2,3.9,56,0,0.1,0,0.3,0.7,38.5,2.2,5.9,8.1,1.9,1.4,0.6,1.8,3.6,22.9,2,0,0.5
Anthony Davis,NOP,22,4,0,4,42.9,31.5,11.8,21.8,54,0,0.5,0,8,9,88.9,2.3,8.8,11,2,3.3,1.3,3,3,57.2,3,0,-5
Aron Baynes,SAS,28,4,2,2,10,2.3,0.8,2.5,30,0,0,0,0.8,0.8,100,0.8,1.8,2.5,0.3,0.8,0,0,2.3,4.9,0,0,-1.5
Arron Afflalo,POR,29,3,1,2,20,1.7,0.7,4,16.7,0.3,1.3,25,0,0.3,0,0,2.3,2.3,0.7,1,0,0,2,4.5,0,0,-14.7
Austin Rivers,LAC,22,14,7,7,17.9,8.4,3.3,7.5,43.8,0.9,2.5,37.1,0.9,1.4,63.2,0.4,1.3,1.7,1.1,0.9,0.7,0.3,2,14.3,0,0,-3.4
Avery Bradley,BOS,24,4,0,4,33.3,12.3,4.8,12.5,38,1.3,4.8,26.3,1.5,1.8,85.7,0.8,3,3.8,0.8,0.8,0.8,0,3.3,19.4,0,0,-4.3
Beno Udrih,MEM,32,10,5,5,17.5,7.6,3.1,7.3,42.5,0.4,1.6,25,1,1.2,83.3,0.4,1.6,2,2.1,0.4,0.5,0,1.6,14.3,0,0,-3.8
Bernard James,DAL,30,1,0,1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Blake Griffin,LAC,26,14,7,7,39.8,25.5,10,19.6,51.1,0.1,0.5,14.3,5.4,7.6,71.7,2.7,10,12.7,6.1,3.2,1,1,3.1,52.8,12,3,3.7
Bojan Bogdanovic,BKN,26,6,2,4,34.4,10.3,3.8,9.8,39,1.8,5.5,33.3,0.8,1.2,71.4,0.5,3.3,3.8,1.7,1.3,0.7,0.3,2,19.1,0,0,-6.3
Boris Diaw,SAS,33,7,3,4,28.3,11.6,4.9,10.1,47.9,0.6,2.6,22.2,1.3,1.9,69.2,1.9,4.3,6.1,3.6,1.3,0.7,0.4,3.4,26.4,0,0,-0.9
Bradley Beal,WAS,22,10,6,4,41.8,23.4,8.1,20,40.5,2.3,6.3,36.5,4.9,5.9,83.1,1.4,4.1,5.5,4.6,2.6,1.6,0.7,1.9,41.2,0,0,2.9
Brandon Bass,BOS,30,4,0,4,21.5,5,1.8,5,35,0,0,0,1.5,2.5,60,0.8,1.3,2,2.5,0.8,0.3,0.8,1,13.4,0,0,-10.5
Brandon Rush,GSW,29,3,3,0,2.5,1,0.3,2,16.7,0.3,0.7,50,0,0,0,0.3,0.7,1,0,0,0,0,0.7,2.2,0,0,0
Brendan Haywood,CLE,35,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook Lopez,BKN,27,6,2,4,38.9,19.8,7.2,14.5,49.4,0,0,0,5.5,6.7,82.5,3.3,5.7,9,0.8,1,0.7,2.2,3,39.4,3,0,-3
CJ McCollum,POR,23,5,1,4,33.2,17,6.4,13.4,47.8,2.2,4.6,47.8,2,2.6,76.9,0.2,3.8,4,0.4,1.2,1.2,0.2,2.6,25.4,0,0,3.2
Chandler Parsons,DAL,26,1,0,1,36.8,10,5,15,33.3,0,4,0,0,0,0,0,6,6,2,1,0,0,1,19.2,0,0,-16
Charlie Villanueva,DAL,30,5,1,4,8.7,6,2.2,5,44,1.6,3.8,42.1,0,0,0,0.8,1.8,2.6,0.6,0,0.2,0.2,2,11.2,0,0,1.2
Chris Kaman,POR,33,3,0,3,12.4,3,1.3,2.7,50,0,0,0,0.3,0.3,100,1.7,3,4.7,1,1,0,0,1.7,9.1,0,0,-3.7
Chris Paul,LAC,30,12,6,6,37.1,22.1,7.9,15.8,50.3,2.3,5.4,41.5,4,4.3,94.1,0.6,3.8,4.4,8.8,2.2,1.8,0.3,3.1,44.6,6,0,3.1
Clint Capela,HOU,21,17,9,8,7.5,3.4,1.2,1.8,67.7,0,0,0,0.9,1.7,51.7,0.8,1.7,2.5,0.3,0.2,0.2,0.5,1.1,8.7,0,0,-2
Corey Brewer,HOU,29,17,9,8,25.2,11.2,4.2,9.8,43.1,0.7,2.5,28.6,2.1,3.2,63.6,0.6,2.1,2.8,1.1,0.9,0.6,0.2,2.8,18,1,0,-4
Cory Joseph,SAS,23,4,2,2,5.4,2.8,1.3,1.5,83.3,0,0,0,0.3,0.5,50,0,0.3,0.3,0,0.3,0,0.3,0.5,3.6,0,0,-5.5
Courtney Lee,MEM,29,11,6,5,33.4,13.3,5,9.1,55,1.3,2.7,46.7,2,2.1,95.7,0.3,2.3,2.5,2.2,1.2,1.1,0,2.2,21.7,0,0,0.1
Dahntay Jones,LAC,34,11,6,5,1.6,0.4,0.2,0.2,100,0,0,0,0,0,0,0,0.1,0.1,0,0,0.2,0,0.6,1,0,0,-0.4
Damian Lillard,POR,24,5,1,4,40.2,21.6,7.8,19.2,40.6,1,6.2,16.1,5,6.4,78.1,0.4,3.6,4,4.6,2.4,0.4,0.6,3,33.9,0,0,-5.4
Danny Green,SAS,28,7,3,4,29.1,8.3,3,8.7,34.4,1.7,5.7,30,0.6,0.9,66.7,1,2.1,3.1,2.1,0.7,1,1,1.7,20.6,0,0,3.7
Dante Cunningham,NOP,28,4,0,4,18.8,5.3,2.3,2.8,81.8,0,0,0,0.8,0.8,100,1,3.5,4.5,0.5,0,0.8,1,1.8,16.7,0,0,2
Darius Morris,BKN,24,1,0,1,4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
David Lee,GSW,32,13,10,3,8.2,3.1,1.2,3.1,40,0,0,0,0.6,1.2,53.3,0.8,1.8,2.6,0.6,0.2,0.2,0.2,1.3,8.1,0,0,2.6
DeAndre Jordan,LAC,26,14,7,7,34.5,13.1,4.1,5.8,71.6,0,0,0,4.8,11.2,42.7,3.5,9.9,13.4,1.1,1.2,1.1,2.4,3,40.1,8,0,2.3
DeMar DeRozan,TOR,25,4,0,4,39.7,20.3,8,20,40,0.8,2,37.5,3.5,4.3,82.4,1.3,5,6.3,5.8,2.5,1.5,0,3,38.4,1,0,-11.8
DeMarre Carroll,ATL,28,16,8,8,34.9,14.6,5.4,11.1,48.6,1.8,4.5,40.3,2,2.6,78,1.6,4.4,6.1,2,0.9,1.1,0.3,2.3,28.2,2,0,2
Dennis Schroder,ATL,21,16,8,8,18.1,9,3.5,9.1,38.6,0.5,2.1,23.5,1.5,1.8,85.7,0.3,1.5,1.8,3.9,1.7,0.6,0,1.8,17,0,0,-4.9
Deron Williams,BKN,31,6,2,4,32,11.8,4.5,11.5,39.1,1.8,4.3,42.3,1,1.2,85.7,0.5,5.7,6.2,5.5,2.7,1.3,0,3,28.8,0,0,-7
Derrick Rose,CHI,26,12,6,6,37.8,20.3,7.8,19.6,39.6,1.9,5.5,34.8,2.9,3.3,89.7,1.1,3.8,4.8,6.5,3.2,1.2,0.5,1.8,37.7,1,0,6.2
Devin Harris,DAL,32,4,1,3,18.4,6,2,5.8,34.8,0,2.8,0,2,2.3,88.9,0.3,1.8,2,1,1,0.5,0,2.5,10.4,0,0,-6.3
Dirk Nowitzki,DAL,37,5,1,4,36.2,21.2,7.6,16.8,45.2,0.8,3.4,23.5,5.2,5.6,92.9,0.8,9.6,10.4,2.4,2,0.4,0.4,3.2,37.7,2,0,-2
Doug McDermott,CHI,23,3,1,2,3.2,1.7,0.3,1,33.3,0.3,0.7,50,0.7,0.7,100,0.3,0.3,0.7,0.3,0.3,0,0,0,2.6,0,0,5
Draymond Green,GSW,25,21,16,5,37.3,13.7,4.8,11.4,41.7,1.1,4.3,26.4,3,4.1,73.6,2.2,7.9,10.1,5.2,2.8,1.8,1.2,4.2,39.9,12,1,9
Drew Gooden,WAS,33,10,6,4,17.8,6.8,2.3,6.1,37.7,1.2,2.6,46.2,1,1.3,76.9,1.3,4.2,5.5,0.8,1.4,0.2,1,2.1,16.8,0,0,3
Dwight Howard,HOU,29,17,9,8,33.8,16.4,6.2,10.7,57.7,0,0,0,4,9.7,41.2,3.6,10.4,14,1.2,2.2,1.4,2.3,3.5,43.7,13,0,0.5
Dwight Powell,DAL,23,2,0,2,1.3,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,1.4,0,0,1.5
E'Twaun Moore,CHI,26,3,1,2,2.8,1.7,0.7,2,33.3,0.3,0.3,100,0,0,0,0,1,1,0,0,0.7,0,0.3,4.9,0,0,3.7
Earl Clark,BKN,27,2,0,2,6.5,3,1,5,20,1,1.5,66.7,0,0,0,0,1,1,0,0,0.5,0,0.5,5.7,0,0,-7.5
Ekpe Udoh,LAC,28,4,2,2,3,0.5,0.3,0.8,33.3,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0.8,1.4,0,0,2.5
Elton Brand,ATL,36,3,2,1,1.3,0.3,0,0.3,0,0,0,0,0.3,0.7,50,0,0.3,0.3,0,0,0,0,1,0.7,0,0,0
Eric Gordon,NOP,26,4,0,4,35.8,18.5,7,15.8,44.4,3.3,8,40.6,1.3,1.5,83.3,0.5,1.8,2.3,3.8,2.5,0.5,0.5,2.8,27.3,0,0,-10
Ersan Ilyasova,MIL,28,6,2,4,23.7,8.7,3.3,10.2,32.8,0.8,3.8,21.7,1.2,1.7,70,1,2.8,3.8,0.5,0.8,0.8,0.5,1.7,17.2,0,0,-9.2
Evan Turner,BOS,26,4,0,4,29.5,10.5,4,11,36.4,0.5,1,50,2,2.3,88.9,0.5,6.8,7.3,4.8,2.3,0.8,0,2.8,26.3,0,0,-3.8
Festus Ezeli,GSW,25,20,15,5,9.2,3.5,1.4,2.5,54,0,0,0,0.8,1.5,55.2,1.2,1.9,3.1,0.3,0.6,0.1,0.5,1.3,8.7,0,0,0.6
Garrett Temple,WAS,29,4,1,3,6.5,1.8,0.3,1.5,16.7,0,0.8,0,1.3,2,62.5,0.3,0.5,0.8,0.3,0.8,0.5,0,1,3.8,0,0,-2.3
Gerald Wallace,BOS,32,1,0,1,3.7,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-5
Giannis Antetokounmpo,MIL,20,6,2,4,33.5,11.5,4.3,11.8,36.6,0,0.2,0,2.8,3.8,73.9,2,5,7,2.7,1.8,0.5,1.5,3,28.1,1,0,-8.2
Gigi Datome,BOS,27,3,0,3,4.6,1.3,0.7,2,33.3,0,0.7,0,0,0,0,0,0.3,0.3,0.3,0,0,0,1.3,2.2,0,0,0.3
Glen Davis,LAC,29,14,7,7,10.3,2.9,1.2,2.7,44.7,0,0.1,0,0.5,0.6,77.8,0.6,1.3,1.9,0.2,0.6,0.4,0.4,2.4,7.1,0,0,-3.1
Greg Smith,DAL,24,1,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greg Stiemsma,TOR,29,1,0,1,2,5,2,2,100,0,0,0,1,2,50,0,0,0,0,0,0,0,0,5,0,0,5
Greivis Vasquez,TOR,28,4,0,4,25.3,7.5,2.8,7.3,37.9,1.3,3.5,35.7,0.8,0.8,100,0,1.8,1.8,3,1,0.5,0,3.8,14.6,0,0,-10.5
Harrison Barnes,GSW,23,21,16,5,32.4,10.6,4.2,9.5,44,1,3,35.5,1.2,1.6,73.5,2.1,3.1,5.2,1.5,1,0.8,0.5,2.1,22.1,0,0,5.4
Hedo Turkoglu,LAC,36,11,7,4,5,0.9,0.4,1.5,23.5,0.2,1.2,15.4,0,0,0,0.1,0.5,0.6,0.4,0.2,0.4,0.1,0.9,3.4,0,0,-3
Iman Shumpert,CLE,25,20,14,6,34.8,9.1,3,8.2,36,1.7,4.7,35.5,1.5,2,75,1.2,3.8,4.9,1.2,0.7,1.3,0.8,2.5,22.2,1,0,3.5
Isaiah Thomas,BOS,26,4,0,4,29.8,17.5,4.5,13.5,33.3,0.8,4.5,16.7,7.8,8,96.9,0.3,2.8,3,7,3.5,0.8,0,2.5,30.4,1,0,-1.3
J.J. Barea,DAL,31,5,1,4,30.7,11.8,5,11.4,43.9,0.8,3.2,25,1,1.2,83.3,1,3.8,4.8,7.4,2.8,0.8,0,3.4,28.3,1,0,6.4
JJ Redick,LAC,31,14,7,7,38.6,14.9,5,11.5,43.5,2.5,6.3,39.8,2.4,2.5,94.3,0,2.1,2.1,1.7,1.9,0.7,0.4,2.6,21.4,0,0,2.8
JR Smith,CLE,29,18,13,5,31.1,12.8,4.6,11.4,40.3,2.8,7.9,35.9,0.8,1.1,70,0.5,4.2,4.7,1.2,0.8,0.9,0.6,3,24,2,0,2.2
JaMychal Green,MEM,25,5,1,4,1.7,0.4,0,0.4,0,0,0.2,0,0.4,0.4,100,0,0.6,0.6,0,0,0.2,0.2,0.2,2.3,0,0,1.2
Jae Crowder,BOS,24,4,0,4,25.1,10.8,3.8,7.3,51.7,0.8,2.5,30,2.5,3.3,76.9,2,3,5,2,1.3,1,0.8,3.5,23.8,0,0,-7.3
Jamal Crawford,LAC,35,14,7,7,27.1,12.7,4.8,13.3,36,1.3,5.3,24.3,1.9,2.1,86.7,0.4,1.7,2.1,1.9,1.2,0.9,0.2,2.4,20.4,0,0,-1.3
James Harden,HOU,25,17,9,8,37.4,27.2,7.6,17.3,43.9,2.4,6.3,38.3,9.6,10.5,91.6,0.7,5,5.7,7.5,4.5,1.6,0.4,2.9,47,6,1,-0.4
James Johnson,TOR,28,2,0,2,6,2,1,3,33.3,0,0,0,0,3,0,0,1,1,0.5,0,0,0,0,4,0,0,-4
James Jones,CLE,34,20,14,6,15.5,4.4,1.3,3.8,34.7,1.1,3.2,34.4,0.7,0.7,92.9,0.1,1.4,1.5,0.5,0.3,0.4,0.2,2.1,8.2,0,0,0.8
James Michael McAdoo,GSW,22,5,5,0,2,0.8,0.4,0.6,66.7,0,0,0,0,0,0,0.2,0.6,0.8,0,0.2,0,0.2,0,2.2,0,0,-0.8
Jared Dudley,MIL,29,6,2,4,18.4,6.7,2.3,5,46.7,1.3,2.3,57.1,0.7,1.2,57.1,0.5,1.3,1.8,1.3,0.8,2,0.3,2,17,0,0,0.3
Jared Sullinger,BOS,23,4,0,4,20.1,12.3,5.3,9.5,55.3,0.8,2.3,33.3,1,1.8,57.1,2.3,4.8,7,0.3,1.3,0,0.8,3,22,1,0,-1.5
Jarrett Jack,BKN,31,6,2,4,25.5,12.3,4.7,9,51.9,0.8,2.5,33.3,2.2,2.2,100,0.3,3.8,4.2,4.5,3.3,1.2,0.2,2.3,24.8,0,0,9.7
Jason Terry,HOU,37,17,9,8,28.6,9.2,3.4,7.9,42.5,1.7,4.8,35.4,0.8,0.9,81.3,0.4,1.9,2.2,2.8,1.2,0.9,0.1,2.7,17.9,0,0,-0.5
Jeff Ayres,SAS,28,3,1,2,4,0,0,0.3,0,0,0,0,0,0,0,0,1,1,0.7,0,0,0,0,2.2,0,0,1.7
Jeff Green,MEM,28,11,6,5,27.1,8.9,3.3,9.8,33.3,0.4,1.6,22.2,2,2.4,84.6,0.8,3.9,4.7,1.7,1.5,0.5,0.5,1.6,18.4,0,0,-0.3
Jeff Teague,ATL,27,16,8,8,33,16.8,6.1,14.9,41,1.3,4.1,32.3,3.3,3.8,86.7,0.6,2.6,3.2,6.7,2.7,1.5,0.4,2.1,33.8,1,0,3.1
Jerome Jordan,BKN,28,1,0,1,4.7,0,0,2,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1.4,0,0,-4
Jerryd Bayless,MIL,26,6,2,4,20,6.5,2,5.8,34.3,0.3,1.2,28.6,2.2,2.8,76.5,0.7,1.8,2.5,3,0.7,0.3,0.3,2,15.3,0,0,-2.2
Jimmy Butler,CHI,25,12,6,6,42.2,22.9,7.8,17.8,44.1,2.3,6,38.9,4.9,6,81.9,1.5,4.1,5.6,3.2,1.8,2.4,0.8,2.3,42.1,1,0,4.5
Joakim Noah,CHI,30,12,6,6,32.9,5.8,2.6,6.3,40.8,0,0,0,0.6,1.7,35,3.8,7.3,11,3.2,1.7,0.8,1.2,3.1,28,2,0,1
Joe Harris,CLE,23,6,4,2,2.6,1.3,0.3,1,33.3,0.2,0.5,33.3,0.5,0.7,75,0,0.2,0.2,0.2,0.2,0,0,0.2,1.6,0,0,-1.3
Joe Johnson,BKN,34,6,2,4,41.6,16.5,5.7,15.7,36.2,2,6.8,29.3,3.2,4,79.2,0.8,6.8,7.7,4.8,0.8,1.2,0,2.7,35.6,1,0,-10.8
Joel Freeland,POR,28,2,0,2,3.7,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,2.1,0,0,0.5
Joey Dorsey,HOU,31,6,3,3,2.2,0.2,0,0.3,0,0,0,0,0.2,0.3,50,0.2,0.5,0.7,0.3,0.2,0,0,0.3,1.3,0,0,-1.3
John Henson,MIL,24,6,2,4,25.4,8.8,4,6.8,58.5,0,0.2,0,0.8,2.3,35.7,3.5,4.5,8,0.7,1.8,0.8,1.7,2.3,25.1,1,0,-5.5
John Jenkins,ATL,24,4,1,3,5.3,2.5,1,1.5,66.7,0.5,1,50,0,0,0,0.3,0.5,0.8,0,0,0,0,0.5,3.4,0,0,2.3
John Wall,WAS,24,7,5,2,38.9,17.4,6.1,15.7,39.1,0.4,2.4,17.6,4.7,5.6,84.6,0.7,4,4.7,11.9,3.9,1.4,1.4,1.9,45.6,5,0,4.1
Johnny O'Bryant III,MIL,22,1,0,1,12,6,3,8,37.5,0,0,0,0,0,0,1,2,3,0,0,0,0,1,9.6,0,0,-15
Jon Leuer,MEM,26,4,1,3,2.4,1,0.5,1,50,0,0,0,0,0,0,0.5,0.8,1.3,0,0,0,0,0.3,2.5,0,0,-0.5
Jonas Jerebko,BOS,28,4,0,4,17,2.8,1.3,3.8,33.3,0,1,0,0.3,0.5,50,1,2.5,3.5,0.3,0.8,0.5,0.3,2.3,8.8,0,0,1.5
Jonas Valanciunas,TOR,23,4,0,4,26.4,11.3,4.8,9.5,50,0,0,0,1.8,2,87.5,2.3,7,9.3,0.5,1,0.5,0.3,1.8,24.4,1,0,-3.8
Jordan Adams,MEM,20,4,1,3,2.4,1.8,0.5,0.8,66.7,0.3,0.3,100,0.5,1,50,0,0.3,0.3,0,0,0.3,0,0,2.8,0,0,2.3
Jorge Gutierrez,MIL,26,1,0,1,12,2,1,2,50,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4.7,0,0,-15
Josh Smith,HOU,29,17,9,8,23.3,13.5,5,11.4,43.8,1.6,4.2,38,1.9,4.4,43.2,1.5,4.1,5.6,2.7,2.2,0.5,1,2.4,26.7,0,0,-0.3
Jrue Holiday,NOP,25,3,0,3,18.2,6.3,2.3,6.3,36.8,0.3,1.3,25,1.3,1.3,100,0.7,0.3,1,4.3,1.7,0.7,0.3,1,15.4,0,0,-0.7
Justin Holiday,GSW,26,5,5,0,2.2,0.6,0.2,0.4,50,0.2,0.2,100,0,0,0,0,0.2,0.2,0.2,0.4,0,0,0.2,0.7,0,0,-0.6
Kawhi Leonard,SAS,24,7,3,4,35.8,20.3,7.4,15.6,47.7,1.6,3.7,42.3,3.9,5,77.1,1.9,5.6,7.4,2.6,2.1,1.1,0.6,2.6,36.1,1,0,-5
Kelly Olynyk,BOS,24,4,0,4,13.3,4.5,1.8,3.3,53.8,0.8,1.5,50,0.3,0.5,50,0.5,0.8,1.3,0.5,1,0.5,0.5,3,8.8,0,0,-0.5
Kendrick Perkins,CLE,30,8,7,1,4.1,1.3,0.3,1,25,0,0,0,0.8,1.3,60,0.3,0.9,1.1,0,0.5,0,0.4,0.8,3.2,0,0,-1.6
Kent Bazemore,ATL,25,16,8,8,18.9,5.4,1.9,4.4,42.3,0.4,1.8,21.4,1.3,1.9,67.7,0.2,3.1,3.3,0.8,0.7,0.7,0.6,1.6,13.7,0,0,-4.1
Kevin Love,CLE,26,4,4,0,26.7,14.3,4.3,10.3,41.5,2.3,5.3,42.9,3.5,4.8,73.7,1.5,5.5,7,2.5,1.5,0.3,0.5,3,27.2,1,0,9
Kevin Seraphin,WAS,25,6,4,2,12,5.5,2.5,5.2,48.4,0,0,0,0.5,1,50,0.5,2.7,3.2,0.3,0.7,0.3,0.2,1.7,10.6,0,0,1.3
Khris Middleton,MIL,23,6,2,4,38.7,15.8,5.8,15.3,38,1.8,5.7,32.4,2.3,2.5,93.3,1.2,2.5,3.7,2,1.7,2.3,0.5,2.3,30.1,0,0,-11.2
Kirk Hinrich,CHI,34,10,4,6,12.6,2.6,0.9,1.9,47.4,0.6,1,60,0.2,0.3,66.7,0,0.5,0.5,1.1,0.1,0.3,0.1,1.4,6,0,0,-5.5
Klay Thompson,GSW,25,21,16,5,36.2,18.6,7.1,15.9,44.6,2.7,7,39,1.7,2.1,80,0.4,3.4,3.9,2.6,2,0.8,0.9,3,30.2,0,0,5.7
Kosta Koufos,MEM,26,11,6,5,11.6,3.4,1.5,2.8,54.8,0,0,0,0.3,0.5,60,1.7,1.8,3.5,0.4,0.1,0.4,0.5,1.3,10.8,0,0,-2.5
Kostas Papanikolaou,HOU,24,8,4,4,2.6,0.4,0.1,0.5,25,0,0.4,0,0.1,0.3,50,0,0.3,0.3,0,0.6,0,0,0.5,0.1,0,0,-1.3
Kris Humphries,WAS,30,1,1,0,5.2,2,1,1,100,0,0,0,0,0,0,0,3,3,0,0,0,0,1,5.6,0,0,-4
Kyle Korver,ATL,34,14,8,6,37.5,11.1,3.7,9.5,39.1,2.8,7.9,35.5,0.9,1.1,81.3,0.1,4.9,5,2.4,1.5,1.4,1.1,1.9,26.7,1,0,4.3
Kyle Lowry,TOR,29,4,0,4,32.8,12.3,4.5,14.3,31.6,1.3,5.8,21.7,2,2.8,72.7,1.8,3.8,5.5,4.8,3,1.3,0,4.5,26.7,0,0,-7
Kyrie Irving,CLE,23,13,10,3,35.7,19,6.2,14.2,43.8,2.1,4.6,45,4.5,5.3,84.1,0.8,2.8,3.6,3.8,1.5,1.3,0.8,2.2,34,1,0,4.2
LaMarcus Aldridge,POR,29,5,1,4,41.7,21.8,7.4,22.4,33,0.6,2.2,27.3,6.4,7.2,88.9,4.2,7,11.2,1.8,1.6,0.4,2.4,3.2,44.7,3,0,-8.2
LeBron James,CLE,30,20,14,6,42.2,30.1,11.4,27.2,41.7,1.3,5.5,22.7,6.1,8.4,73.1,1.9,9.5,11.3,8.5,4.1,1.7,1.1,2.9,60.3,14,3,4
Leandro Barbosa,GSW,32,21,16,5,10.9,5,1.9,4.2,44.3,0.4,1.1,34.8,0.9,1,81.8,0.4,0.9,1.3,0.9,0.6,0.3,0,1.1,8.2,0,0,1.8
Lester Hudson,LAC,30,7,3,4,5.4,2,0.9,2,42.9,0.3,1,28.6,0,0,0,0,0.1,0.1,1,0.4,0.3,0.1,1.1,4.5,0,0,0.3
Lou Williams,TOR,28,4,0,4,25.6,12.8,4,12.8,31.4,1,5.3,19,3.8,4.5,83.3,0.5,1.3,1.8,1.3,0.8,1.5,0,2.3,20.5,0,0,-6.3
Manu Ginobili,SAS,37,7,3,4,18.7,8,2.1,6.1,34.9,1.1,3.1,36.4,2.6,3.3,78.3,0.6,2.9,3.4,4.6,2,0.6,0.9,2.7,21.3,0,0,-2.1
Marc Gasol,MEM,30,11,6,5,37.8,19.7,6.5,16.4,39.4,0,0.2,0,6.8,8,85.2,1.7,8.5,10.3,4.5,1.5,0.9,1.7,3,45.2,6,0,-2.5
Marcin Gortat,WAS,31,10,6,4,30.7,12.4,5.4,8.6,62.8,0,0,0,1.6,2.4,66.7,2.7,6.1,8.8,2.2,1.6,0.6,1.1,2.9,29.8,3,0,2.1
Marco Belinelli,SAS,29,7,3,4,16.6,9.3,2.9,5.6,51.3,2,4.3,46.7,1.6,1.9,84.6,0.3,1.6,1.9,1.4,0.7,0.3,0,1.4,13.8,0,0,2.9
Marcus Smart,BOS,21,4,0,4,22.5,9.8,3.5,7.3,48.3,0.8,3.3,23.1,2,3.8,53.3,1.3,1.5,2.8,1.3,1,0.3,0.3,3,15.4,0,0,-12.8
Markel Brown,BKN,23,2,0,2,5.1,3,1,2.5,40,0,1,0,1,1,100,1,0,1,0.5,1,0,0,0,4,0,0,-5
Marreese Speights,GSW,27,10,7,3,6.7,3.7,1.4,4.2,33.3,0,0,0,0.9,1.5,60,0.8,1.3,2.1,0.4,0.4,0.4,0.3,1.4,8.5,0,0,0.3
Martell Webster,WAS,28,1,1,0,4.2,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1
Mason Plumlee,BKN,25,6,2,4,8.2,2,0.7,1,66.7,0,0,0,0.7,1.8,36.4,0.3,1,1.3,0.3,0.5,0.7,0.3,1.7,6.6,0,0,-2.3
Matt Barnes,LAC,35,14,7,7,29.2,7.6,2.7,7.1,38,1.1,4.3,26.7,1.1,1.4,75,1.1,3.9,5.1,1.6,1.1,1.4,0.7,3.9,21.4,0,0,4.8
Matt Bonner,SAS,35,7,3,4,5.2,0.9,0.3,1.4,20,0.3,1.3,22.2,0,0,0,0,0.9,0.9,0.1,0.1,0,0.1,1.1,2.4,0,0,2.4
Matthew Dellavedova,CLE,24,20,14,6,24.8,7.2,2.4,6.8,34.6,1.2,3.8,31.6,1.3,1.6,78.1,0.5,1.6,2.1,2.7,1.8,0.5,0,2.6,13.2,0,0,1.7
