PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Aaron Brooks,MIN,33,2,1,1,1.3,2.0,1.0,1.5,66.7,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0
Aaron Jackson,HOU,32,7,5,2,2.4,0.7,0.3,0.6,50.0,0.0,0.3,0.0,0.1,0.3,50.0,0.3,0.3,0.6,0.3,0.3,0.0,0.0,0.3,1.5,0,0,-1.0
Abdel Nader,BOS,24,11,6,5,3.0,1.1,0.5,1.4,33.3,0.0,0.4,0.0,0.2,0.4,50.0,0.1,0.2,0.3,0.3,0.2,0.1,0.1,0.2,2.2,0,0,-0.9
Al Horford,BOS,32,19,11,8,35.7,15.7,5.8,10.7,54.4,0.8,2.3,34.9,3.3,3.9,82.7,1.7,6.6,8.3,3.3,1.7,1.0,1.2,2.1,35.4,7,0,3.7
Al-Farouq Aminu,POR,27,4,0,4,32.7,17.3,6.8,13.0,51.9,3.3,7.5,43.3,0.5,0.5,100,3.0,6.0,9.0,1.3,1.5,1.0,0.5,2.0,32.9,1,0,-11.0
Alec Burks,UTA,26,9,4,5,13.4,9.1,3.3,7.1,46.9,1.0,2.2,45.0,1.4,1.7,86.7,0.2,2.4,2.7,1.9,0.9,0.4,0.1,1.0,15.9,0,0,0.4
Alex Abrines,OKC,24,6,2,4,18.3,4.0,1.3,3.3,40.0,1.0,2.2,46.2,0.3,0.3,100,0.5,2.2,2.7,0.3,0.2,0.8,0.3,1.8,11.0,0,0,4.0
Amir Johnson,PHI,31,8,4,4,11.7,3.3,1.4,2.6,52.4,0.0,0.0,0.0,0.5,0.6,80.0,1.8,1.1,2.9,1.1,0.4,0.3,0.1,1.3,9.1,0,0,2.4
Andre Iguodala,GSW,34,15,12,3,26.8,8.1,2.8,5.7,49.4,0.9,2.5,37.8,1.6,2.3,70.6,0.7,3.8,4.5,2.7,0.9,1.4,0.5,1.9,22.3,0,0,7.3
Andrew Wiggins,MIN,23,5,1,4,32.8,15.8,6.0,13.6,44.1,1.4,4.2,33.3,2.4,4.0,60.0,1.0,4.2,5.2,2.0,1.8,0.4,0.4,2.8,25.6,0,0,-11.2
Ante Zizic,CLE,21,8,2,6,2.9,1.6,0.6,1.3,50.0,0.0,0.0,0.0,0.4,0.8,50.0,0.1,0.6,0.8,0.1,0.3,0.0,0.1,0.3,2.8,0,0,1.4
Anthony Davis,NOP,25,9,5,4,39.8,30.1,11.8,22.7,52.0,0.7,2.4,27.3,5.9,7.1,82.8,2.7,10.8,13.4,1.7,2.6,2.0,2.3,3.3,59.2,9,0,1.0
Aron Baynes,BOS,31,19,11,8,20.5,6.0,2.4,4.7,50.6,0.6,1.2,47.8,0.7,0.9,72.2,2.4,3.8,6.2,1.0,0.4,0.2,0.6,2.3,16.9,0,0,-2.5
Bam Adebayo,MIA,20,5,1,4,15.4,3.4,1.4,3.0,46.7,0.0,0.2,0.0,0.6,2.8,21.4,1.8,2.2,4.0,0.0,0.4,0.0,0.4,1.6,9.0,0,0,-5.6
Ben Simmons,PHI,21,10,5,5,36.9,16.3,6.1,12.5,48.8,0.0,0.1,0.0,4.1,5.8,70.7,1.6,7.8,9.4,7.7,4.4,1.7,0.8,3.4,42.2,5,1,-2.1
Bojan Bogdanovic,IND,29,7,3,4,34.0,12.4,4.6,11.6,39.5,2.4,6.4,37.8,0.9,1.4,60.0,0.1,3.3,3.4,1.9,1.9,0.9,0.0,3.3,20.0,0,0,4.9
Bradley Beal,WAS,25,6,2,4,35.9,23.2,8.2,18.0,45.4,3.5,7.5,46.7,3.3,3.8,87.0,0.3,3.0,3.3,2.8,2.5,1.2,0.3,3.2,33.4,0,0,-7.8
Brandon Jennings,MIL,28,1,1,0,4.9,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,-1.0
Brandon Paul,SAS,27,1,0,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.7,0,0,5.0
Bryn Forbes,SAS,24,4,0,4,13.5,4.3,1.3,4.3,29.4,0.5,2.3,22.2,1.3,1.8,71.4,0.3,0.5,0.8,0.5,0.0,0.0,0.0,0.8,5.9,0,0,-4.0
CJ McCollum,POR,26,4,0,4,38.9,25.3,10.0,19.3,51.9,2.8,6.5,42.3,2.5,3.3,76.9,0.0,2.0,2.0,3.5,2.3,1.3,0.3,2.8,35.2,0,0,-9.0
CJ Miles,TOR,31,10,4,6,22.7,9.6,3.2,7.1,45.1,1.9,4.5,42.2,1.3,1.6,81.3,0.6,1.8,2.4,0.8,0.9,0.7,0.3,2.1,15.8,0,0,-2.4
Caleb Swanigan,POR,21,1,0,1,7.9,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,5.9,0,0,11.0
Carmelo Anthony,OKC,34,6,2,4,32.3,11.8,4.5,12.0,37.5,1.0,4.7,21.4,1.8,2.5,73.3,0.5,5.2,5.7,0.3,1.0,1.7,0.7,2.3,25.1,0,0,-9.7
Cedi Osman,CLE,23,14,5,9,4.4,1.0,0.4,1.3,33.3,0.1,0.5,14.3,0.1,0.3,25.0,0.1,0.4,0.5,0.2,0.0,0.2,0.0,0.4,2.6,0,0,0.8
Cheick Diallo,NOP,21,7,4,3,6.9,1.4,0.7,1.7,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,1.3,0.0,0.1,0.1,0.1,1.3,3.7,0,0,-3.9
